City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
221,Norman Wells,CA,2023-03-04 22:05:49,65.282,-126.8329,-11.16,64,40,17.27
222,Poum,NC,2023-03-04 22:05:49,-20.2333,164.0167,80.24,76,4,5.39
223,Regente Feijo,BR,2023-03-04 22:06:50,-22.2214,-51.3028,74.44,84,52,3.53
224,Salinopolis,BR,2023-03-04 22:06:50,-0.6136,-47.3561,78.3,88,100,8.32
225,Zadonsk,RU,2023-03-04 22:06:51,52.3904,38.9261,30.0,86,99,14.7
226,Hofn,IS,2023-03-04 22:06:51,64.2539,-15.2082,37.22,76,100,4.36
227,Yar-Sale,RU,2023-03-04 22:06:51,66.8333,70.8333,-25.37,100,66,3.78
228,Krasnokamensk,RU,2023-03-04 22:06:52,50.0979,118.0369,9.3,88,50,4.32
229,Kamaishi,JP,2023-03-04 22:06:52,39.2667,141.8833,33.44,65,26,3.27
230,Khatanga,RU,2023-03-04 22:06:53,71.9667,102.5,-7.78,99,100,6.58
231,Salalah,OM,2023-03-04 22:06:53,17.0151,54.0924,75.29,73,0,3.44
232,Tupik,RU,2023-03-04 22:06:54,54.4253,119.9327,12.69,84,98,4.09
233,Marystown,CA,2023-03-04 22:06:54,47.1666,-55.1483,22.77,72,75,16.15
234,Zhangye,CN,2023-03-04 22:06:54,38.9342,100.4517,36.59,34,3,2.44
235,Sept-Iles,CA,2023-03-04 22:06:51,50.2001,-66.3821,18.07,85,51,5.82
236,Pak Phanang,TH,2023-03-04 22:06:55,8.3511,100.202,76.62,79,95,7.29
237,Novyy Yarychiv,UA,2023-03-04 22:06:55,49.9044,24.3052,31.1,77,92,12.71
238,Ormara,PK,2023-03-04 22:06:55,25.2088,64.6357,74.61,58,0,6.53
239,Kavieng,PG,2023-03-04 21:59:25,-2.5744,150.7967,76.01,90,100,10.0
240,Puerto Escondido,MX,2023-03-04 22:06:56,15.85,-97.0667,85.03,65,0,11.5
241,Yudong,CN,2023-03-04 22:06:56,29.385,106.5194,58.5,70,100,1.86
242,Yulara,AU,2023-03-04 22:05:45,-25.2406,130.9889,73.31,21,0,2.91
243,Vila Velha,BR,2023-03-04 22:06:57,-20.3297,-40.2925,80.55,81,0,11.5
244,Bethel,US,2023-03-04 22:06:57,41.3712,-73.414,42.94,75,100,6.91
245,Toamasina,MG,2023-03-04 22:06:58,-18.1667,49.3833,77.16,88,97,5.84
246,Saint-Francois,FR,2023-03-04 22:06:58,46.4154,3.9054,34.97,82,13,2.3
247,Victor Harbor,AU,2023-03-04 22:06:59,-35.5667,138.6167,67.68,69,28,6.6
248,Melur,IN,2023-03-04 22:06:59,10.05,78.3333,72.73,85,17,7.76
249,Palmer,US,2023-03-04 22:06:59,42.1584,-72.3287,38.62,71,100,9.22
250,Nhulunbuy,AU,2023-03-04 22:07:00,-12.2333,136.7667,75.81,88,100,14.97
251,Hasanpur,IN,2023-03-04 22:07:00,28.7167,78.2833,64.63,34,0,8.23
252,Miquelon,PM,2023-03-04 22:07:00,47.0975,-56.3814,23.0,66,89,25.57
253,Georgetown,MY,2023-03-04 22:03:20,5.4112,100.3354,78.73,77,20,6.91
254,Guerrero Negro,MX,2023-03-04 22:03:49,27.9769,-114.0611,62.87,56,0,18.3
255,Henties Bay,NA,2023-03-04 22:07:01,-22.116,14.2845,63.84,82,0,8.63
256,Nanakuli,US,2023-03-04 22:07:02,21.3906,-158.1547,80.55,51,75,13.8
257,Beipiao,CN,2023-03-04 22:07:02,41.7919,120.7792,31.37,74,0,4.7
258,Kavaratti,IN,2023-03-04 22:07:03,10.5669,72.642,81.61,59,0,4.85
259,Safakulevo,RU,2023-03-04 22:07:03,54.9901,62.5442,25.92,95,100,14.34
260,Tunceli,TR,2023-03-04 22:07:04,39.1083,39.5471,45.41,86,78,0.94
261,Izazi,TZ,2023-03-04 22:07:04,-7.2,35.7333,69.57,83,93,2.19
262,Joutseno,FI,2023-03-04 22:07:05,61.118,28.5076,28.45,92,98,5.01
263,Hithadhoo,MV,2023-03-04 22:07:05,-0.6,73.0833,81.55,74,55,5.1
264,Rio Grande,BR,2023-03-04 22:07:06,-32.035,-52.0986,75.31,87,99,15.66
265,Kashary,RU,2023-03-04 22:07:06,49.04,41.0056,35.35,76,71,17.4
266,Werda,BW,2023-03-04 22:07:07,-25.2667,23.2833,77.99,41,35,7.29
267,Lompoc,US,2023-03-04 22:07:08,34.6391,-120.4579,56.79,58,0,5.75
268,Esperance,AU,2023-03-04 22:07:08,-33.8667,121.9,65.37,63,98,15.9
269,Teahupoo,PF,2023-03-04 22:08:09,-17.8333,-149.2667,75.16,77,100,6.96
270,Pevek,RU,2023-03-04 22:08:09,69.7008,170.3133,-25.26,93,100,4.56
271,Alihe,CN,2023-03-04 22:08:10,50.5667,123.7167,24.6,79,100,5.08
272,Great Yarmouth,GB,2023-03-04 22:08:10,52.6083,1.7305,41.25,87,100,9.53
273,Bulawayo,ZW,2023-03-04 22:08:11,-20.15,28.5833,63.68,72,4,9.08
274,Ouallam,NE,2023-03-04 22:08:12,14.3188,2.0866,86.65,10,6,9.06
275,Opuwo,NA,2023-03-04 22:08:13,-18.0607,13.84,61.34,43,0,3.85
276,Sorrento,IT,2023-03-04 22:08:13,40.626,14.3744,52.27,82,97,4.74
277,Kijang,KR,2023-03-04 22:08:14,35.2442,129.2139,45.39,69,5,6.76
278,Lewiston,US,2023-03-04 22:08:15,44.1003,-70.2148,30.7,93,100,10.36
279,Merauke,ID,2023-03-04 22:08:15,-8.4667,140.3333,79.09,87,100,15.32
280,Tura,IN,2023-03-04 22:08:15,25.5198,90.2201,67.28,45,0,2.86
281,Sakakah,SA,2023-03-04 21:54:58,29.9697,40.2064,63.97,20,0,7.9
282,Kimberley,ZA,2023-03-04 22:08:16,-28.7323,24.7623,71.74,48,0,14.94
283,Touros,BR,2023-03-04 22:05:54,-5.1989,-35.4608,80.4,77,91,13.49
284,Saryg-Sep,RU,2023-03-04 22:08:17,51.5,95.6,10.76,96,100,1.54
285,Samarai,PG,2023-03-04 22:08:18,-10.6167,150.6667,80.53,73,100,3.98
286,Aswan,EG,2023-03-04 22:08:18,24.0934,32.907,76.98,21,82,6.62
287,Saint-Pierre,RE,2023-03-04 21:59:28,-21.3393,55.4781,77.58,94,0,2.3
288,Alpena,US,2023-03-04 22:08:19,45.0617,-83.4327,39.72,70,0,3.0
289,Port Lincoln,AU,2023-03-04 22:06:41,-34.7333,135.8667,67.69,62,44,12.26
290,Souillac,MU,2023-03-04 22:06:10,-20.5167,57.5167,77.38,88,75,3.44
291,Litovko,RU,2023-03-04 22:08:20,49.2361,135.1742,20.55,86,40,11.21
